time,x,z
9.01,2342.42,10671.3
9.02,2345.02,10671.3
9.03,2347.62,10671.3
9.04,2350.22,10671.3
9.05,2352.82,10671.3
9.06,2355.42,10671.3
9.07,2358.02,10671.3
9.08,2360.62,10671.3
9.09,2363.22,10671.3
9.1,2365.81,10671.3
9.11,2368.41,10671.3
9.12,2371.01,10671.3
9.13,2373.61,10671.3
9.14,2376.21,10671.3
9.15,2378.81,10671.3
9.16,2381.41,10671.3
9.17,2384.01,10671.3
9.18,2386.61,10671.3
9.19,2389.21,10671.3
9.2,2391.81,10671.3
9.21,2394.41,10671.3
9.22,2397.01,10671.3
9.23,2399.61,10671.3
9.24,2402.21,10671.3
9.25,2404.81,10671.3
9.26,2407.41,10671.4
9.27,2410.01,10671.4
9.28,2412.6,10671.4
9.29,2415.2,10671.4
9.3,2417.8,10671.4
9.31,2420.4,10671.4
9.32,2423,10671.4
9.33,2425.6,10671.4
9.34,2428.2,10671.4
9.35,2430.8,10671.4
9.36,2433.4,10671.4
9.37,2436,10671.4
9.38,2438.6,10671.4
9.39,2441.2,10671.4
9.4,2443.8,10671.4
9.41,2446.4,10671.4
9.42,2449,10671.4
9.43,2451.6,10671.4
9.44,2454.19,10671.4
9.45,2456.79,10671.4
9.46,2459.39,10671.4
9.47,2461.99,10671.4
9.48,2464.59,10671.4
9.49,2467.19,10671.4
9.5,2469.79,10671.4
9.51,2472.39,10671.4
9.52,2474.99,10671.4
9.53,2477.59,10671.4
9.54,2480.19,10671.4
9.55,2482.79,10671.4
9.56,2485.39,10671.4
9.57,2487.99,10671.4
9.58,2490.59,10671.4
9.59,2493.19,10671.4
9.6,2495.78,10671.5
9.61,2498.38,10671.5
9.62,2500.98,10671.5
9.63,2503.58,10671.5
9.64,2506.18,10671.5
9.65,2508.78,10671.5
9.66,2511.38,10671.5
9.67,2513.98,10671.5
9.68,2516.58,10671.5
9.69,2519.18,10671.5
9.7,2521.78,10671.5
9.71,2524.38,10671.5
9.72,2526.98,10671.5
9.73,2529.58,10671.5
9.74,2532.18,10671.5
9.75,2534.78,10671.5
9.76,2537.37,10671.5
9.77,2539.97,10671.5
9.78,2542.57,10671.5
9.79,2545.17,10671.5
9.8,2547.77,10671.5
9.81,2550.37,10671.5
9.82,2552.97,10671.5
9.83,2555.57,10671.5
9.84,2558.17,10671.5
9.85,2560.77,10671.5
9.86,2563.37,10671.5
9.87,2565.97,10671.5
9.88,2568.57,10671.5
9.89,2571.17,10671.5
9.9,2573.77,10671.5
9.91,2576.36,10671.5
9.92,2578.96,10671.5
9.93,2581.56,10671.6
9.94,2584.16,10671.6
9.95,2586.76,10671.6
9.96,2589.36,10671.6
9.97,2591.96,10671.6
9.98,2594.56,10671.6
9.99,2597.16,10671.6
10,2599.76,10671.6
10.01,2602.36,10671.6
10.02,2604.96,10671.6
10.03,2607.56,10671.6
10.04,2610.16,10671.6
10.05,2612.76,10671.6
10.06,2615.35,10671.6
10.07,2617.95,10671.6
10.08,2620.55,10671.6
10.09,2623.15,10671.6
10.1,2625.75,10671.6
10.11,2628.35,10671.6
10.12,2630.95,10671.6
10.13,2633.55,10671.6
10.14,2636.15,10671.6
10.15,2638.75,10671.6
10.16,2641.35,10671.6
10.17,2643.95,10671.6
10.18,2646.55,10671.6
10.19,2649.15,10671.6
10.2,2651.75,10671.6
10.21,2654.34,10671.6
10.22,2656.94,10671.6
10.23,2659.54,10671.6
10.24,2662.14,10671.6
10.25,2664.74,10671.6
10.26,2667.34,10671.7
10.27,2669.94,10671.7
10.28,2672.54,10671.7
10.29,2675.14,10671.7
10.3,2677.74,10671.7
10.31,2680.34,10671.7
10.32,2682.94,10671.7
10.33,2685.54,10671.7
10.34,2688.14,10671.7
10.35,2690.73,10671.7
10.36,2693.33,10671.7
10.37,2695.93,10671.7
10.38,2698.53,10671.7
10.39,2701.13,10671.7
